date,sex,neet_percent,ilo_unemployed_less_6months_percent,ilo_unemployed_more_6months_percent,inactive_look_after_fam_home_percent,inactive_longterm_temp_sick_percent,inactive_other_percent
2004,Total,13.10879227,3.989069019,1.394137747,4.169562617,1.381868336,2.174154547
2004,Total,14.55862268,3.895229014,1.56137019,5.251411823,1.678163818,2.172447838
2003,Total,7.84467367,3.905224808,1.034010165,0.347750533,0.576207419,1.981480745
2003,Total,12.12030899,3.440082797,1.199023467,3.960829762,1.293721925,2.226651042
2003,Total,13.34815391,3.306506798,1.246410751,4.998406787,1.499772365,2.297057212
2002,Total,8.690288943,4.690947398,1.132353405,0.493575435,0.631424781,1.741987925
2002,Total,12.26630458,3.881671332,1.149316721,4.145809049,1.296214588,1.79329289
2002,Total,13.33120978,3.64067622,1.154368244,5.233411275,1.494182996,1.808571046
2001,Total,7.87730582,3.964223931,0.974287978,0.753865722,0.355967453,1.828960736
2001,Total,12.50896177,4.014252884,1.363424862,3.992647409,1.302648115,1.835988499
2001,Total,13.9214459,4.029509869,1.482097251,4.980356299,1.59135078,1.838131707
2000,Total,7.420550213,3.868114468,0.81368572,0.497755129,0.474358819,1.766636077
2000,Total,12.28104574,3.721387314,1.234518957,4.331093569,1.165280465,1.828765434
2000,Total,13.72800299,3.677707011,1.359799949,5.472268748,1.370966095,1.847261187
