Date,sex,neet_percent,ilo_unemployed_less_6months_percent,ilo_unemployed_more_6months_percent,inactive_look_after_fam_home_percent,inactive_longterm_temp_sick_percent,inactive_other_percent
2017,Male,10.88725926,3.309549437,2.075515293,0.205438297,2.896688174,2.400068055
2017,Female,11.21209316,2.925832312,0.989824734,3.640429797,1.849326499,1.806679817
2016,Total,11.27848672,3.189830905,1.500296891,2.052770256,2.104344685,2.431243982
2016,Male,11.26237852,4.073497353,1.941199467,0.227608553,2.246054281,2.774018861
2016,Female,11.29520562,2.272662407,1.042678572,3.947128497,1.957262516,2.075473633
2015,Total,11.57169138,3.022885551,1.707381694,2.703543139,1.996598141,2.141282853
2015,Male,10.53814257,3.606167607,2.136069497,0.282765711,2.048959295,2.464180458
2015,Female,12.64313962,2.418214995,1.262974241,5.213088597,1.942316946,1.806544843
2014,Total,13.05147092,3.478164598,2.68630025,3.341006933,1.735237834,1.810761303
2014,Male,10.77465734,3.865824082,3.350840028,0.223153332,1.845428817,1.489411078
2014,Female,15.40712727,3.077081025,1.998748418,6.566827311,1.621231095,2.143239423
2013,Total,14.09463534,3.722014291,3.964100585,3.037777205,1.588311504,1.782431751
2013,Male,13.36109597,4.259417787,5.172878833,0.28332658,1.824872473,1.820600292
2013,Female,14.84200825,3.174476103,2.732526439,5.844172985,1.34728932,1.743543402
2012,Total,14.87161042,4.191822681,3.698497153,3.73248591,1.489641769,1.759162908
2012,Male,13.58121465,4.489667901,5.089583701,0.287362926,1.838450177,1.876149941
2012,Female,16.20089089,3.885002212,2.265491693,7.281424002,1.130322391,1.638650596
2011,Total,15.98771251,4.801899667,4.040691398,3.974957139,1.235876938,1.934287367
2011,Male,15.35276325,5.580059651,5.597240078,0.357648584,1.596595442,2.221219494
2011,Female,16.63301921,4.011046151,2.458751925,7.651272094,0.869274308,1.642674733
2010,Total,15.55051767,4.450908625,3.398946307,3.554810911,1.483719233,2.662132591
2010,Male,13.83569608,4.869512992,4.379416159,0.19734292,1.788745453,2.60067856
2010,Female,17.29845423,4.024220575,2.399542566,6.977115087,1.172802641,2.724773361
2009,Total,14.77602151,4.344939901,3.124602572,3.803593548,1.523875835,1.979009657
2009,Male,12.89715108,4.926330144,4.566994613,0.262289115,1.579784303,1.561752907
2009,Female,16.63973139,3.76824088,1.693849155,7.31632329,1.468418491,2.392899571
2008,Total,14.20764546,4.725913419,2.247151567,3.813678799,1.280781203,2.140120474
2008,Male,11.91257443,5.406379305,3.100327176,0.178895908,1.197109396,2.029862646
2008,Female,16.47007211,4.055126272,1.406111266,7.396761653,1.363262887,2.248810029
2007,Total,13.03487529,3.667421065,1.797942822,4.111127757,1.275676358,2.182707288
2007,Male,10.75731002,4.35233707,2.432199368,0.288848813,1.322615402,2.361309366
2007,Female,15.30362852,2.985155042,1.166140253,7.918618069,1.228918925,2.004796232
2006,Total,13.85944704,4.038636219,1.752625474,4.092185533,1.429913222,2.546086597
2006,Male,11.94177984,4.678207429,2.302552254,0.279065784,1.736416403,2.945537967
2006,Female,15.77413915,3.400057248,1.203551858,7.899389554,1.123885555,2.147254941
2005,Total,14.46919501,4.261827756,1.852085573,4.555219583,1.412695649,2.387366449
2005,Male,12.56656654,5.272868908,2.630910436,0.261717785,1.637434007,2.763635401
2005,Female,16.36342117,3.255251527,1.076700128,8.829760577,1.188949771,2.012759161
2004,Total,13.10879227,3.989069019,1.394137747,4.169562617,1.381868336,2.174154547
2004,Male,10.74560637,4.685180883,1.951744243,0.193834058,1.630639325,2.284207857
2004,Female,15.47438669,3.292247691,0.835962948,8.149343177,1.132843805,2.063989071
2003,Total,12.12030899,3.440082797,1.199023467,3.960829762,1.293721925,2.226651042
2003,Male,9.722266195,4.183479159,1.745572936,0.194181351,1.390536048,2.2084967
2003,Female,14.54834667,2.687387984,0.645637722,7.774591658,1.195696844,2.245032461
2002,Total,12.26630458,3.881671332,1.149316721,4.145809049,1.296214588,1.79329289
2002,Male,9.796113048,4.718041294,1.675667406,0.124859112,1.422862326,1.854682909
2002,Female,14.74497181,3.042431626,0.621160026,8.180555632,1.169132297,1.73169223
2001,Total,12.50896177,4.014252884,1.363424862,3.992647409,1.302648115,1.835988499
2001,Male,10.06007089,4.914507269,1.86686631,0.211074115,1.55794989,1.509673302
2001,Female,14.98273128,3.10485269,0.854868882,7.812638237,1.044752694,2.165618777
2000,Total,12.28104574,3.721387314,1.234518957,4.331093569,1.165280465,1.828765434
2000,Male,9.263333126,4.409714119,1.70249936,0.169439556,1.314665267,1.667014825
2000,Female,15.31404686,3.029573268,0.764167645,8.513831591,1.015138841,1.991335514
