date,region_name,neet_percent
2025,,13.33715558
2025,North East,20.99566772
2025,North West,14.04249066
2025,Yorkshire and The Humber,15.61027963
2025,East Midlands,16.52835254
2025,West Midlands,13.53291262
2025,East of England,11.68885477
2025,London,12.02340052
2025,South East,11.46249077
2025,South West,9.880460607
